id,firmano,ad,sfirmano,havuz,anaformnesne,deguser,degtarsaat,olususer,olustarsaat,Modul
1,,Tanımlar,,,anatanim,,,,,
2,,Kartlar,,,anakartlar,,,,,
3,,İşlemler,,,anaislem,,,,,
4,,Pompacı,,,anapompa,,,,,
5,,Market,,,anamarket,,,,,
6,,Finans,,,anafinans,,,,,
7,,Raporlar,,,anarapor,,,,,
8,,Grafik ve Analizler,,,anagrafik,,,,,
9,,Tanımlar,,,anatanim,,,,,H
10,,Kartlar,,,anakartlar,,,,,H
11,,İşlemler,,,anaislem,,,,,H
12,,Listeler,,,analisteler,,,,,H
13,,Raporlar,,,anarapor,,,,,H
10,,Kartlar,,,anakartlar,,,,,H
11,,İşlemler,,,anaislem,,,,,H
12,,Listeler,,,analisteler,,,,,H
13,,Raporlar,,,anarapor,,,,,H
14,,Hakkında,,,anahakkinda,,,,,
15,,Restaurant,,,mn_restaurant,,,,,
16,,Promosyon,,,mn_prom,,,,,
