id,kod,ad,gctip,deguser,degtarsaat,olususer,olustarsaat,tip,tur_id,gc,Gizli
1,FATAKALS,AKARYAKIT ALIŞ FATURASI,1,,,,,FAT,1,G,True
2,FATMRALS,MARKET ALIŞ FATURASI,1,,,,,FAT,1,G,True
3,FATGGALS,GELİR GİDER ALIŞ FATURASI,1,,,,,FAT,1,G,True
4,FATYGALS,YAĞ ALIŞ FATURASI,1,,,,,FAT,1,G,True
5,FATVERSAT,VERESİYE SATIŞ FATURASI,2,,,,,FAT,2,C,True
6,FATGGSAT,GELİR GİDER SATIŞ FATURASI,2,,,,,FAT,2,C,True
7,FATTOPSAT,TOPTAN SATIŞ FATURASI,2,,,,,FAT,2,C,True
8,FATPERSAT,PERAKENDE SATIŞ FATURASI,2,,,,,FAT,2,C,True
9,FATIADALS,ALIŞTAN İADE FATURASI,2,,,,,FAT,3,C,True
10,FATIADSAT,SATIŞTAN İADE FATURASI,1,,,,,FAT,3,G,True
11,IRSAKALS,AKARYAKIT ALIŞ İRSALİYESİ,1,,,,,IRS,4,G,True
12,IRSMRALS,MARKET ALIŞ İRSALİYESİ,1,,,,,IRS,4,G,True
13,IRSYGALS,YAĞ ALIŞ İRSALİYESİ,1,,,,,IRS,4,G,True
14,IRSAKSAT,AKARYAKIT SATIŞ İRSALİYESİ,2,,,,,IRS,5,C,True
15,IRSMRSAT,MARKET SATIŞ İRSALİYESİ,2,,,,,IRS,5,C,True
16,IRSYGSAT,YAĞ SATIŞ İRSALİYESİ,2,,,,,IRS,5,C,True
17,SIPALS,ALINAN SİPARİŞ,1,,,,,SIP,6,G,True
18,SIPSAT,VERİLEN SİPARİŞ,2,,,,,SIP,7,C,True
19,FISVERSAT,VERESİYE SATIŞ FİŞİ,2,,,,,FIS,8,C,True
20,FISALCSAT,ALACAK SATIŞ FİŞİ,2,,,,,FIS,9,C,True
21,FISPRSSAT,PROMOSYON SATIŞ FİŞİ,2,,,,,PRS,10,C,
22,FISPRSTES,PROMOSYON TESLİMAT FİŞİ,2,,,,,PRS,10,C,
23,ZAKR,AKARYAKIT Z RAPORU,2,,,,,ZRP,11,C,True
24,ZMAR,MARKET Z RAPORU,2,,,,,ZRP,11,C,True
25,ZGEN,GENEL Z RAPORU,2,,,,,ZRP,11,C,True
26,FATTTSSAT,FATURA TTS SATIS,2,,,,,FAT,2,,
27,FATTEVALS,TEVKIFATLI ALIŞ FATURASI,1,,,,,FAT,1,G,
28,FATTEVSAT,TEVKIFATLI SATIŞ FATURASI,2,,,,,FAT,2,C,
