id,firmano,bolumid,frm,frmtr,frmen,yetkialan,sfirmano,havuz,anaformnesne,deguser,degtarsaat,olususer,olustarsaat,Modul
4,,4,Pompa_Var_Liste_Frm,Pompacı Vardiya,,True,,,mn_pomvardiya,,,,,
6,,2,Emtia_Kart_Liste_Frm,Market Stok Kartları,,True,,,mn_marstkkart,,,,,
7,,2,Akaryakit_Kart_Liste_Frm,Akaryakıt Kartları,,True,,,mn_akarstkkart,,,,,
8,,2,tankkrtf,Tank Kartları,,True,,,mn_tankkart,,,,,
9,,2,cariheskrtf,Cari Hesap Kartları,,True,,,mn_carikart,,,,,
10,,2,perkartf,Personel Kartları,,True,,,mn_perkart,,,,,
11,,2,gelgidkartf,Gelir - Gider Kartları,,True,,,mn_gelgidkart,,,,,
12,,2,bankkartf,Banka Hesap Kartları,,True,,,mn_bankakart,,,,,
13,,2,perakartf,Perakende Kartları,,True,,,mn_perakendekart,,,,,
14,,2,poskrtf,Pos Kartları,,True,,,mn_poskart,,,,,
15,,2,isltkrkf,İşletme Kredi Kartları,,True,,,mn_isktkrekart,,,,,
16,,2,sayckrtf,Sayaç Kartları,,True,,,mn_sayackart,,,,,
18,,1,deptanf,Market Depo Kart,,True,,,mn_depotan,,,,,
20,,1,kurgirsf,Kur Girişi,,True,,,mn_kurgrs,,,,,
21,,1,kultanf,Kullanıcı Tanımı,,True,,,mn_kultan,,,,,
22,,1,sistemtanf,Sistem Tanımları,,True,,,mn_sistemtan,,,,,
23,,1,raporf,Rapor Tanımları,,True,,,mn_raportan,,,,,
24,,3,Fatura_Liste_Frm,Fatura Listesi,,True,,,mn_fatliste,,,,,
25,,3,Irs_Liste_Frm,İrsaliye Listesi,,True,,,mn_irsliste,,,,,
26,,3,siparislisf,Sipariş Listesi,,True,,,mn_sipliste,,,,,
27,,3,Veresi_Fis_Liste_Frm,Veresiye Fiş Listesi,,True,,,mn_verliste,,,,,
28,,3,stoklisf,Stok Listesi,,True,,,mn_stokliste,,,,,
29,,3,kullogf,Kullanıcı Log,,True,,,mn_kullog,,,,,
30,,4,Havfislisf,Havuza Fiş Giriş Listesi,,True,,,mn_havuzliste,,,,,
31,,5,Market_Var_Liste_Frm,Market Vardiya Listesi,,True,,,mn_marvardi,,,,,
32,,5,Market_Satis_Frm,Satış / İade,,True,,,mn_marsatiade,,,,,
33,,5,sayimilsmf,Sayım İşlemleri,,True,,,mn_sayislm,,,,,
34,,6,hizliislemf,Hızlı İşlem Menüsü,,True,,,mn_hizliislm,,,,,
35,,6,Kasaf,Kasa İşlemleri,,True,,,mn_kasaislm,,,,,
36,,6,bankislmf,Banka İşlemleri,,True,,,mn_bankailsm,,,,,
37,,6,posilsmf,Pos İşlemleri,,True,,,mn_posislm,,,,,
38,,6,ceksentismlf,Çek - Senet İşlemleri,,True,,,mn_cekislm,,,,,
39,,7,,Stok Raporları,,True,,,mn_rapstok,,,,,
40,,7,,Cari Raporları,,True,,,mn_rapcari,,,,,
41,,7,,Fatura Raporları,,True,,,mn_rapfat,,,,,
42,,7,,Banka Raporları,,True,,,mn_rapbanka,,,,,
43,,7,,Gelir-Gider Raporları,,True,,,mn_rapgelgid,,,,,
44,,7,,Çek-Senet Raporları,,True,,,mn_rapcek,,,,,
45,,7,,Kasa Raporları,,True,,,mn_rapkasa,,,,,
46,,7,,Vardiya İcmal Raporu,,True,,,mn_rapvardi,,,,,
48,,4,otomasyonf,Otomasyon,,True,,,mn_otomas,,,,,
49,0,2,hrk_carikart,Cari Hareket Dökümü,,True,,,,,,,,
50,0,2,hrk_akykt,Akaryakıt Kartı Hareket Dökümü,,True,,,,,,,,
51,0,2,hrk_markt,Market Kartı Hareket Dökümü,,True,,,,,,,,
52,0,2,hrk_tank,Tank Kartı Hareket Dökümü,,True,,,,,,,,
53,0,2,hrk_perkart,Personel Kartı Hareket Dökümü,,True,,,,,,,,
54,0,2,hrk_gelgidkart,Gelir - Gider Kartı Hareket Dökümü,,True,,,,,,,,
55,0,2,hrk_bankakart,Banka Kartı Hareket Dökümü,,True,,,,,,,,
56,0,2,hrk_perakendekart,Perakende Kartı Hareket Dökümü,,True,,,,,,,,
57,0,2,hrk_poskart,Pos Kartı Hareket Dökümü,,True,,,,,,,,
58,0,2,hrk_istkart,İşletme Kredi Kartı Hareket Dökümü,,True,,,,,,,,
59,0,2,hrk_sayackart,Sayaç Kartı Hareket Dökümü,,True,,,,,,,,
60,0,1,firmatanf,Firma Tanımları,,True,,,mn_firmatan,,,,,
61,0,1,stkbrmf,Stok Birimleri,,True,,,mn_stokbrm,,,,,
62,0,1,para_brmf,Para Birimleri,,True,,,mn_parabrm,,,,,
63,0,1,postasmsf,Eposta Ayarları,,True,,,mn_emailayar,,,,,
64,0,0,verfsgrf,VERESİYE FİŞ GİRİŞİ,,,,,,,,,,
65,,5,Mar_Yazarkasa,Yazar Kasa İşlemleri,,True,,,mn_yazkas,,,,,
66,,5,Mar_Fatura,Market Fatura İşlemleri,,True,,,mn_marfatura,,,,,
67,,5,Mar_irsaliye,Market İrsaliye İşlemleri,,True,,,mn_marirsaliye,,,,,
68,,5,Mar_Siparis,Market Sipariş İşlemleri,,True,,,mn_marsiparis,,,,,
70,,9,kultanf,Kullanıcı Tanımı,,True,,,mn_kultan,,,,,H
71,,10,Prom_Urun_List_Frm,Ürün Hediye Listesi,,True,,,mn_yeni_urun,,,,,H
72,,10,Prom_Dahil_Urun_List_Frm,Promosyona Bağlı Ürünler,,True,,,mn_prom_bag_urun,,,,,H
73,,10,Prom_Mus_List_Frm,Müşteri Listesi,,True,,,mn_musteri,,,,,H
74,,11,Prom_Sat_List_Frm,Fiş Listesi,,True,,,mn_Satis_Liste,,,,,H
75,,11,PROM_LINK,Fiş İşlemleri,,True,,,mn_fisislem,,,,,H
77,,13,,Tarihli İşlem Raporu,,True,,,mn_rap_tarihislem,,,,,H
78,,13,,Hediye Teslimat Raporu,,True,,,mn_rap_hediyetes,,,,,H
79,,13,,Müşteri Verimlilik Raporu,,True,,,mn_rap_musverimlik,,,,,H
80,,1,Tarih_Kapat_Liste,Tarih Kapat,,True,,,mn_tarihkapat,,,,,
81,0,6,kasahrkf,Kasa Hareketleri,,True,,,,,,,,
82,0,4,Var_Veresi_Liste_Frm,Vardiya Veresiye Fiş İşlemleri,,True,,,,,,,,
83,,3,FATURA_LINK,Fatura İşlemleri,,True,,,mn_fatlist,,,,,
88,,14,,Mesaj Gönder,,True,,,mn_mesajgon,,,,,
89,,14,,Netten Güncelle,,True,,,mn_netguncele,,,,,
90,,14,,Serverdan Güncelle,,True,,,mn_serguncele,,,,,
84,,2,ver_carikart,Cari Veresiye Fiş Listesi,,True,,,,,,,,
86,,2,ver_perkart,Personel Veresiye Fiş Listesi,,True,,,,,,,,
87,,2,ver_gelgidkart,Gelir-Gider Veresiye Fiş Listesi,,True,,,,,,,,
91,0,4,Finansf,Vardiya Finans Listesi,,True,,,,,,,,
92,,15,Res_Vardiya_Frm,Restaurant Vardiya Listesi,,True,,,mn_resvardi,,,,,
93,0,4,slpgrsf,Vardiya Pos Satışları,,True,,,,,,,,
94,,5,mararakasf,Market Satış Listesi,,True,,,,,,,,
95,0,4,Pompa_Sayac_Grs_Frm,Vardiya Sayaç Girişi,,True,,,,,,,,
96,0,4,naktesf,Nakit Teslimat,,True,,,,,,,,
97,0,4,urnsatf,Yağ Emita Satış,,True,,,,,,,,
98,0,1,Calisma_Sart_Frm,Çalışma Sartları,,True,,,mn_calismasart,,,,,
99,,7,,Personel Raporları,,True,,,mn_rapper,,,,,
100,,2,RehberKartListeFrm,Rehber Kartları,,True,,,mn_rehberkart,,,,,
101,,3,zraporlist,Z Rapor Listesi,,True,,,mn_pvzrapor,,,,,
102,,3,TTS_Takip_Frm,TTS Takip,,True,,,mn_ttstakip,,,,,
103,,3,kartaramaf,Kart Limit Sorgula,,True,,,mn_kart_limit,,,,,
104,,3,Depo_Transfer_Liste_Frm,Depo Transfer Listesi,,True,,,mn_depolistesi,,,,,
105,,3,vadgelenf,Vadesi Gelen İşlemler,,True,,,mn_vadgel,,,,,
106,,3,Mesaj_Liste_Frm,Mesaj Listesi,,True,,,mn_ajanda,,,,,
107,,4,mn_petropump,PetroPump,,True,,,mn_petropump,,,,,
108,,4,Otomasyon_Sat_Frm,Otomasyon Satıs İzleme,,True,,,mn_otomasyonizleme,,,,,
109,,4,vts_onlistef,Veresiye Takip,,True,,,mn_veresitakip,,,,,
110,,6,,EFatura Entegrasyon,,True,,,mn_efaturaentegre,,,,,
111,,2,yencarkrtf,Yeni Cari Kart,,True,,,,,,,,
112,,7,,Mali Raporlar,,True,,,mn_rapmali,,,,,
113,,7,,Grafik Ve Analizler,,True,,,mn_rapgrafik,,,,,
114,,3,StokFiyatIslemFrm,Stok Fiyat İşlem,,True,,,mn_StokIslemFrm,,,,,
