id,firmano,bolumid,frmid,kont,konttr,konten,yetkialan,sfirmano,havuz,deguser,degtarsaat,olususer,olustarsaat,anafrmid,fat_fis_kont_id,Modul,kont_menu,Rap_id
73,,2,6,grpekle,Grup Ekle,,,,,,,,,,,,,
74,,2,6,grpduz,Grup Düzelt,,,,,,,,,,,,,
75,,2,6,grpsil,Grup Sil,,True,,,,,,,,,,,
76,,2,6,ToolButton1,Grup Kapa,,,,,,,,,,,,,
77,,2,6,ToolButton5,Yenile,,,,,,,,,,,,,
78,,2,6,tbtnFullCollapse,Grup Kapa,,,,,,,,,,,,,
79,,2,6,tbtnFullExpand,Grup Aç,,,,,,,,,,,,,
80,,2,6,tbtnPageSetup,Sayfa Ayarı,,,,,,,,,,,,,
81,,2,6,tbtnPreview,Ön İzleme,,,,,,,,,,,,,
82,,2,6,tbtnPrint,Print,,,,,,,,,,,,,
83,,2,6,tbtnDesigner,Dizayn,,,,,,,,,,,,,
84,,2,6,ToolButton6,Excel,,,,,,,,,,,,,
85,,2,6,ToolButton7,Grup Kapa,,,,,,,,,,,,,
86,,2,6,ToolButton8,Başlangıç Ayarı,,,,,,,,,,,,,
87,,2,6,ToolButton9,Genişlik Ayarı,,,,,,,,,,,,,
88,,2,6,ToolButton14,ToolButton14,,,,,,,,,,,,,
89,,2,6,yenile,Yenile,,,,,,,,,,,,,
90,,2,6,ToolButton2,Ok,,,,,,,,,,,,,
91,,2,6,tool_barkod_ara,Barkod Ara,,,,,,,,,,,,,
92,,2,6,butyeni,Yeni Kart,,True,,,,,,,,,,Yenikart,
93,,2,6,butbildeg,Bilgi Değiştir,,True,,,,,,,,,,BilgiDegistir,
94,,2,6,buthrk,Hareket Dökümü,,True,,,,,,,,,,,
95,,2,6,butcik,Çıkış,,,,,,,,,,,,,
96,,2,6,harici_btn,Harici İşlem,,True,,,,,,,,,,,
97,,2,6,butfat,Fatura,,True,,,,,,,,,,,
98,,2,6,Yenikart,Yeni Kart,,False,,,,,,,,,,,
99,,2,6,Bilgincele,Bilgi İncele,,,,,,,,,,,,,
100,,2,6,BilgiDegistir,Bilgi Değiştir,,False,,,,,,,,,,,
101,,2,6,HareketDkm,Hareket Dökümü,,True,,,,,,,,,,,
102,,2,6,Faturamen,Fatura,,True,,,,,,,,,,,
103,,2,6,Harisilem,Harici İşlem,,True,,,,,,,,,,,
104,,2,6,N3,-,,,,,,,,,,,,,
105,,2,6,YazarKasaStokGnder1,Yazar Kasa Stok Gönder,,True,,,,,,,,,,,
106,,2,6,Sharp4995t1,Sharp ER495T,,True,,,,,,,,,,,
107,,2,6,Olivetti0001,Olivetti OL7000,,True,,,,,,,,,,,
108,,2,6,HUGINER425TX1,HUGIN ER-425TX,,True,,,,,,,,,,,
109,,2,6,IbmGenius1,IBM Genius,,True,,,,,,,,,,,
110,,2,6,N1,-,,,,,,,,,,,,,
111,,2,6,silmenu,Kart Sil,,True,,,,,,,,,,,
112,,2,6,silnkartgermenu,Silinmiş Kartı Geri Al,,True,,,,,,,,,,,
113,,2,6,N2,-,,,,,,,,,,,,,
114,,2,6,Silinmi1,Silinmiş Kayıtları Göster,,True,,,,,,,,,,,
115,,4,4,tbtnPageSetup,Sayfa Ayarı,,,,,,,,,,,,,
116,,4,4,tbtnPreview,Ön İzleme,,,,,,,,,,,,,
117,,4,4,tbtnPrint,Print,,,,,,,,,,,,,
118,,4,4,tbtnDesigner,Dizayn,,,,,,,,,,,,,
119,,4,4,ToolButton6,Excel,,,,,,,,,,,,,
120,,4,4,ToolButton7,Grup Kapa,,,,,,,,,,,,,
121,,4,4,ToolButton8,Grup Kapa,,,,,,,,,,,,,
