id,kod,ad,deguser,degtarsaat,olususer,olustarsaat
1,pomvardimas,POMPACI VARDİYA,,,,
2,marvardimas,MARKET VARDİYA,,,,
3,veresiislem,VERESİYE İŞLEM,,,,
4,faturamas,FATURA GİRİŞ,,,,
5,carikart,CARİ KART,,,,
6,perkart,PERSONEL KART,,,,
7,gelgidkart,GELİR-GİDER KART,,,,
8,perakendekart,PERAKENDE KART,,,,
9,tankkart,TANK KART,,,,
10,marstkkart,MARKET STOK KART,,,,
11,poskart,POS KART,,,,
12,bankakart,BANKA KART,,,,
13,sayackart,SAYAÇ KART,,,,
14,istkart,İŞLETME KREDİ KART,,,,
15,otomas,OTOMASYON KART,,,,
16,kasahrk,KASA HAREKET,,,,
17,hizliislem,HIZLI İŞLEM,,,,
18,ceksenislem,ÇEK SENET İŞLEM,,,,
19,posislem,POS İŞLEM,,,,
20,bankaislem,BANKA İŞLEM,,,,
21,kasaislem,KASA İŞLEM,,,,
22,haricislem,HARİCİ İŞLEM,,,,
23,havuzislem,HAVUZ İŞLEM,,,,
24,vts_islem,VTS İŞLEM,,,,
25,deptrsislem,DEPO TRANSFER,,,,
26,fireislem,ÖLÇÜM-FİRE İŞLEM,,,,
27,yagdokislem,YAĞ DÖKME İŞLEM,,,,
28,yazarkasa,YAZAR KASA AKTARIM,,,,
29,sayim,SAYIM İŞLEM,,,,
30,permaas,PERSONEL MAAŞ AKTARIM,,,,
31,yenifiyfark,FİŞLERE YENİ FİYAT UYGULA,,,,
32,vadefiyfark,FİŞLERE VADE FARKI,,,,
33,anafr,ANA FORM,,,,
34,promislem,PROMOSYON İŞLEM,,,,
35,z_rapor,Z RAPOR,,,,
36,irsaliyemas,İRSALİYE GİRİŞ,,,,
37,rehberkart,REHBER KARTLARI,,,,
38,resvardimas,RESTURANT VARDİYA,,,,
