id,firmano,yetkiid,bolumid,frmid,kontid,havuz,deguser,degtarsaat,olususer,olustarsaat,Modul,Rap_id
1,,2,1,18,629,,,,,,,0
2,,2,1,18,631,,,,,,,0
3,,2,1,18,643,,,,,,,0
4,,2,1,18,645,,,,,,,0
5,,2,1,18,647,,,,,,,0
6,,2,1,18,648,,,,,,,0
7,,2,1,18,650,,,,,,,0
8,,2,1,20,668,,,,,,,0
9,,2,1,20,670,,,,,,,0
10,,2,1,20,671,,,,,,,0
11,,2,1,20,672,,,,,,,0
12,,2,1,20,674,,,,,,,0
13,,2,1,20,675,,,,,,,0
14,,2,1,21,678,,,,,,,0
15,,2,1,21,696,,,,,,,0
16,,2,1,21,698,,,,,,,0
17,,2,1,21,699,,,,,,,0
18,,2,1,21,700,,,,,,,0
19,,2,1,21,702,,,,,,,0
20,,2,1,21,704,,,,,,,0
21,,2,1,22,707,,,,,,,0
22,,2,1,23,763,,,,,,,0
23,,2,1,23,764,,,,,,,0
24,,2,1,23,765,,,,,,,0
25,,2,1,23,767,,,,,,,0
26,,2,2,6,75,,,,,,,0
27,,2,2,6,93,,,,,,,0
28,,2,2,6,96,,,,,,,0
29,,2,2,6,103,,,,,,,0
30,,2,2,6,105,,,,,,,0
31,,2,2,6,106,,,,,,,0
32,,2,2,6,107,,,,,,,0
33,,2,2,6,108,,,,,,,0
34,,2,2,6,109,,,,,,,0
35,,2,2,6,111,,,,,,,0
36,,2,2,6,112,,,,,,,0
37,,2,2,6,114,,,,,,,0
38,,2,2,6,1523,,,,,,,0
39,,2,2,6,1524,,,,,,,0
40,,2,2,6,1566,,,,,,,0
41,,2,2,7,168,,,,,,,0
42,,2,2,7,169,,,,,,,0
43,,2,2,7,171,,,,,,,0
44,,2,2,7,172,,,,,,,0
45,,2,2,7,176,,,,,,,0
46,,2,2,7,177,,,,,,,0
47,,2,2,7,179,,,,,,,0
48,,2,2,7,180,,,,,,,0
49,,2,2,7,182,,,,,,,0
50,,2,2,7,1334,,,,,,,0
51,,2,2,8,193,,,,,,,0
52,,2,2,8,195,,,,,,,0
53,,2,2,8,196,,,,,,,0
54,,2,2,8,197,,,,,,,0
55,,2,2,8,198,,,,,,,0
56,,2,2,8,199,,,,,,,0
57,,2,2,8,200,,,,,,,0
58,,2,2,8,202,,,,,,,0
59,,2,2,8,203,,,,,,,0
60,,2,2,8,204,,,,,,,0
61,,2,2,8,205,,,,,,,0
62,,2,2,8,206,,,,,,,0
63,,2,2,8,208,,,,,,,0
64,,2,2,8,209,,,,,,,0
65,,2,2,8,211,,,,,,,0
66,,2,2,8,1335,,,,,,,0
67,,2,2,9,214,,,,,,,0
68,,2,2,9,229,,,,,,,0
69,,2,2,9,230,,,,,,,0
70,,2,2,9,231,,,,,,,0
71,,2,2,9,232,,,,,,,0
72,,2,2,9,234,,,,,,,0
73,,2,2,9,238,,,,,,,0
74,,2,2,9,244,,,,,,,0
75,,2,2,9,245,,,,,,,0
76,,2,2,9,246,,,,,,,0
77,,2,2,9,247,,,,,,,0
78,,2,2,9,248,,,,,,,0
79,,2,2,9,251,,,,,,,0
80,,2,2,9,252,,,,,,,0
81,,2,2,9,254,,,,,,,0
