id,Rap_Kod,User_Id,Ack,CarTip_Id,Mas_Id,Deger_KodIn,Sil,Deger_Tip,Carpan,Hrk_Tip
1,SATIS_DAGILIM,0,Maaş Ve Ücretler,3,,,False,,,
2,SATIS_DAGILIM,0,Kiralar,3,,,False,,,
3,SATIS_DAGILIM,0,İşletme Giderleri,3,,,False,,,
4,SATIS_DAGILIM,0,Vergi Ödemeleri,3,,,False,,,
5,SATIS_DAGILIM,0,Faiz Giderleri,3,,,False,,,
6,SATIS_DAGILIM,0,Borç Kullanma,4,,,False,,,
7,SATIS_DAGILIM,0,Borç Ödeme,4,,,False,,,
8,BILANCO,0,KASA,8,3,K0001,False,0,1,BAK
9,BILANCO,0,BOZUK PARA,8,3,,False,0,1,BAK
10,BILANCO,0,DÖVİZ KASA,8,3,EURO;USD,False,0,1,BAK
11,BILANCO,0,BANKALAR,4,4,01,False,0,1,BAK
12,BILANCO,0,KK (BLOKE),5,4,K.K,False,0,1,BAK
13,BILANCO,0,K.MOTORIN,10,5,UD,False,0,1,KHA
14,BILANCO,0,EURO,10,5,K;S,False,0,1,KHA
15,BILANCO,0,KURSUNSUZ 97,,5,,False,0,1,KHA
16,BILANCO,0,KURSUNSUZ,,5,,False,0,1,KHA
17,BILANCO,0,LPG,,5,,False,0,1,KHA
18,BILANCO,0,MARKET,11,5,AY01;90111280;8691707135052;8690533094366;40111421;50189779;50251797;5000159314732;8690526096216;40111315;8697415717573;8691223014626;8697980740297;8697415715869;8697415716613;8697446495044;8697415717238;8698720000039;8697407054686;8693219004437;8698562000549;8697748932353;8697037208398;8693980106484;8697407054600;8690072004123;8697441640401;8693219004413;8697407054105;8697415717146;8693968116115;8697406640804;8697415717382;8697415717580;8697445720581;8691223014329;8691223014527;8697623940060;86,False,1,1,KHA
19,BILANCO,0,TAKAS ÇEKLERI,,6,,False,0,1,CTK
20,BILANCO,0,PORTFÖY,,6,,False,0,1,CPR
21,BILANCO,0,MÜŞTERI CARİ,,6,,False,0,1,BAK
22,BILANCO,0,TTS,1,6,126.001,False,0,1,BAK
23,BILANCO,0,PERSONEL BORÇLARI,2,6,P025,False,1,1,BAK
24,BILANCO,0,DAĞITIM FIRMASI,,6,,False,0,1,BAK
25,BILANCO,0,RE-ESKONT (-),,6,,False,1,-1,BAK
26,BILANCO,0,ALACAK SENETLERI,,7,,False,0,1,BAK
27,BILANCO,0,AVUKATLIK ALACAKLAR,,7,,False,0,1,BAK
28,BILANCO,0,ŞÜPHELİ ALACAKLAR,,7,,False,0,1,BAK
29,BILANCO,0,DAĞITIM FIRMASINA AKTARILAN,,8,,False,0,1,BAK
30,BILANCO,0,ARAÇLAR,,9,,False,0,1,BAK
31,BILANCO,0,DEMİRBAŞLAR,,9,,False,0,1,BAK
32,BILANCO,0,AMARTISMAN (-),,9,,False,0,-1,BAK
33,BILANCO,0,ARSA VE BINA,,9,,False,0,1,BAK
34,BILANCO,0,DEVREDEN KDV,,10,,False,0,1,BAK
37,BILANCO,0,GARANTI KREDI,4,11,6200236,False,1,1,BAK
38,BILANCO,0,TEB KREDI,,11,,False,0,1,BAK
39,BILANCO,0,ING KREDI,,11,,False,0,1,BAK
40,BILANCO,0,DAĞITIM FIRMASI,,12,,False,2,1,BAK
41,BILANCO,0,DİĞER SATICILAR,,12,,False,0,1,BAK
42,BILANCO,0,MARKET,,13,,False,0,1,BAK
43,BILANCO,0,KGS,,14,,False,2,1,BAK
44,BILANCO,0,FIRMA CARİ,,15,,False,0,1,BAK
45,BILANCO,0,MÜŞTERİ CARİ,,15,,False,0,1,BAK
46,BILANCO,0,UZUN VADELİ KREDİ,,16,,False,0,1,BAK
47,BILANCO,0,DURAN VARLIKLAR,,17,,False,0,1,BAK
48,BILANCO,0,KDV,,18,,False,0,1,BAK
49,BILANCO,0,ELEKTRIK,,18,,False,0,1,BAK
50,BILANCO,0,PERSONEL MAAŞLARI,,18,,False,0,1,BAK
51,BILANCO,0,GİDER HESAPLARI,,18,,False,0,1,BAK
52,BILANCO,0,SERMAYE,,19,,False,0,1,BAK
53,BILANCO,0,AY SONU,,19,,False,2,1,BAK
55,BILANCO,0,TEMETTU,0,19,,False,2,1,BAK
56,BILANCO,0,ÖDENECEK KDV,,20,,False,2,1,BAK
