id,Rap_Kod,User_Id,Ack,Ana_Id,Sil,Ana
1,BILANCO,0,AKTİF,1,False,True
2,BILANCO,0,PASİF,2,False,True
3,BILANCO,0,NAKİT VARLIKLAR,1,False,False
4,BILANCO,0,BANKALAR,1,False,False
5,BILANCO,0,STOKLAR,1,False,False
6,BILANCO,0,TİCARI ALACAKLAR,1,False,False
7,BILANCO,0,GECIKEN ALACAKLAR,1,False,False
8,BILANCO,0,FİNANSAL YATIRIMLAR,1,False,False
9,BILANCO,0,DURAN VARLIKLAR,1,False,False
10,BILANCO,0,DİGER AKTİFLER,1,False,False
11,BILANCO,0,BANKA KREDILERI,2,False,False
12,BILANCO,0,TİCARI BORÇLAR,2,False,False
13,BILANCO,0,MARKET,2,False,False
14,BILANCO,0,KGS,2,False,False
15,BILANCO,0,CARI MUSTERILER,2,False,False
16,BILANCO,0,UZUN VADELI KREDI,2,False,False
17,BILANCO,0,DURAN VARLIKLAR,2,False,False
18,BILANCO,0,TAHAKKUK ETMİŞ BORÇ,2,False,False
19,BILANCO,0,ÖZ VARLIKLAR,2,False,False
20,BILANCO,0,DİGER PASİFLER,2,False,False
