id,firmano,seri,numara,tip,tipack,uzunluk,deguser,degtarsaat,olususer,olustarsaat
1,0,CR,0,carikart,Cari Kartlar,5,,,,
2,0,Diger,0,perkart,Personel Kartları,5,,,,
3,0,PRD,0,perakendekart,Perakende Kartlar,5,,,,
4,0,BNK,0,bankakart,Banka Kartları,5,,,,
5,0,M,1,mardepkart,Market Depo Kartları,4,,,,
6,0,VDFARK,0,gelirkart,Gelir Kartları,5,,,,
7,0,GID,3,giderkart,Gider Kartları,3,,,,
8,0,SYC,0,sayackart,Sayaç Kartları,5,,,,
9,0,POS,0,poskart,Pos Kartları,5,,,,
10,0,ISKR,0,istkredikart,İşletme Kredi Kartları,5,,,,
11,0,TNK,0,tankkart,Tank Kartları,5,,,,
12,0,MST,0,marktstkkart,Market Stok Kartları,5,,,,
13,0,AST,0,akyktstkkart,Akaryakıt Stok Kartları,5,,,,
14,0,,0,makbuz,MAKBUZ,5,,,,
