id,firmano,yetkiid,bolumid,frmid,havuz,deguser,degtarsaat,olususer,olustarsaat,Modul
1,,2,1,18,,,,,,
2,,2,1,20,,,,,,
3,,2,1,21,,,,,,
4,,2,1,22,,,,,,
5,,2,1,23,,,,,,
6,,2,1,60,,,,,,
7,,2,1,61,,,,,,
8,,2,1,62,,,,,,
9,,2,1,63,,,,,,
10,,2,1,80,,,,,,
11,,2,1,98,,,,,,
12,,2,2,7,,,,,,
13,,2,2,8,,,,,,
14,,2,2,10,,,,,,
15,,2,2,11,,,,,,
16,,2,2,12,,,,,,
17,,2,2,13,,,,,,
18,,2,2,14,,,,,,
19,,2,2,15,,,,,,
20,,2,2,16,,,,,,
21,,2,2,50,,,,,,
22,,2,2,52,,,,,,
23,,2,2,53,,,,,,
24,,2,2,54,,,,,,
25,,2,2,55,,,,,,
26,,2,2,56,,,,,,
27,,2,2,57,,,,,,
28,,2,2,58,,,,,,
29,,2,2,59,,,,,,
30,,2,2,84,,,,,,
31,,2,2,86,,,,,,
32,,2,2,87,,,,,,
33,,2,2,100,,,,,,
34,,2,3,25,,,,,,
35,,2,3,26,,,,,,
36,,2,3,27,,,,,,
37,,2,3,28,,,,,,
38,,2,3,29,,,,,,
39,,2,3,83,,,,,,
40,,2,3,101,,,,,,
41,,2,3,102,,,,,,
42,,2,3,103,,,,,,
43,,2,3,104,,,,,,
44,,2,3,105,,,,,,
45,,2,3,106,,,,,,
46,,2,3,114,,,,,,
47,,2,4,4,,,,,,
48,,2,4,82,,,,,,
49,,2,4,91,,,,,,
50,,2,4,93,,,,,,
51,,2,4,95,,,,,,
52,,2,4,96,,,,,,
53,,2,4,97,,,,,,
54,,2,4,107,,,,,,
55,,2,4,108,,,,,,
56,,2,5,33,,,,,,
57,,2,5,65,,,,,,
58,,2,5,66,,,,,,
59,,2,5,67,,,,,,
60,,2,5,68,,,,,,
61,,2,6,34,,,,,,
62,,2,6,35,,,,,,
63,,2,6,36,,,,,,
64,,2,6,37,,,,,,
65,,2,6,38,,,,,,
66,,2,6,81,,,,,,
67,,2,6,110,,,,,,
68,,2,7,40,,,,,,
69,,2,7,41,,,,,,
70,,2,7,42,,,,,,
71,,2,7,43,,,,,,
72,,2,7,44,,,,,,
73,,2,7,45,,,,,,
74,,2,7,46,,,,,,
75,,2,7,99,,,,,,
76,,2,7,112,,,,,,
77,,2,7,113,,,,,,
78,,2,15,92,,,,,,
